"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 11 18:04:04 IST 2021","Sun Apr 11 18:05:56 IST 2021","112049","","","","","","Verify the Booking of DEL to BLR flight for 2 Adults and 1 Child",""
"passed","Sun Apr 11 18:02:25 IST 2021","Sun Apr 11 18:04:04 IST 2021","99658","","","","","","Verify the Booking of BLR to DEL flight for 1 Adult and 1 Child",""
